Dataset is copied to /tmp
Start Training, use checkpointcheckpoints/tightrope_encoder_ep_49
[1,    10] loss: 6.697
[1,    20] loss: 6.687
[1,    30] loss: 6.687
[1,    40] loss: 6.686
[1,    50] loss: 6.686
[1,    60] loss: 6.686
[1,    70] loss: 6.681
[1,    80] loss: 6.666
[1,    90] loss: 6.629
[1,   100] loss: 6.621
[1] Validation loss: 6.651, Accuracy: 0.25%
[2,    10] loss: 6.557
[2,    20] loss: 6.550
[2,    30] loss: 6.561
[2,    40] loss: 6.528
[2,    50] loss: 6.547
[2,    60] loss: 6.526
[2,    70] loss: 6.523
[2,    80] loss: 6.496
[2,    90] loss: 6.496
[2,   100] loss: 6.501
[2] Validation loss: 6.523, Accuracy: 0.30%
[3,    10] loss: 6.406
[3,    20] loss: 6.365
[3,    30] loss: 6.402
[3,    40] loss: 6.412
[3,    50] loss: 6.404
[3,    60] loss: 6.413
[3,    70] loss: 6.412
[3,    80] loss: 6.436
[3,    90] loss: 6.388
[3,   100] loss: 6.382
[3] Validation loss: 6.411, Accuracy: 0.76%
[4,    10] loss: 6.271
[4,    20] loss: 6.212
[4,    30] loss: 6.282
[4,    40] loss: 6.254
[4,    50] loss: 6.303
[4,    60] loss: 6.272
[4,    70] loss: 6.245
[4,    80] loss: 6.263
[4,    90] loss: 6.256
[4,   100] loss: 6.222
[4] Validation loss: 6.279, Accuracy: 1.08%
[5,    10] loss: 6.040
[5,    20] loss: 6.085
[5,    30] loss: 6.111
[5,    40] loss: 6.126
[5,    50] loss: 6.137
[5,    60] loss: 6.143
[5,    70] loss: 6.153
[5,    80] loss: 6.136
[5,    90] loss: 6.155
[5,   100] loss: 6.122
[5] Validation loss: 6.268, Accuracy: 1.38%
[6,    10] loss: 5.954
[6,    20] loss: 5.968
[6,    30] loss: 5.968
[6,    40] loss: 5.985
[6,    50] loss: 6.034
[6,    60] loss: 5.970
[6,    70] loss: 6.026
[6,    80] loss: 6.023
[6,    90] loss: 6.002
[6,   100] loss: 6.017
[6] Validation loss: 6.191, Accuracy: 1.61%
[7,    10] loss: 5.804
[7,    20] loss: 5.787
[7,    30] loss: 5.860
[7,    40] loss: 5.883
[7,    50] loss: 5.888
[7,    60] loss: 5.897
[7,    70] loss: 5.917
[7,    80] loss: 5.879
[7,    90] loss: 5.933
[7,   100] loss: 5.901
[7] Validation loss: 6.178, Accuracy: 1.87%
[8,    10] loss: 5.645
[8,    20] loss: 5.670
