Dataset is copied to /tmp
Start Training, use checkpointcheckpoints/tightrope_encoder_ep_14
[1,    10] loss: 6.716
[1,    20] loss: 6.691
[1,    30] loss: 6.689
[1,    40] loss: 6.685
[1,    50] loss: 6.687
[1,    60] loss: 6.690
[1,    70] loss: 6.684
[1,    80] loss: 6.689
[1,    90] loss: 6.691
[1,   100] loss: 6.688
[1,   110] loss: 6.684
[1,   120] loss: 6.684
[1,   130] loss: 6.683
[1,   140] loss: 6.678
[1,   150] loss: 6.674
[1,   160] loss: 6.680
[1,   170] loss: 6.691
[1,   180] loss: 6.689
[1,   190] loss: 6.687
[1,   200] loss: 6.688
[1,   210] loss: 6.691
[1,   220] loss: 6.686
[1,   230] loss: 6.681
[1,   240] loss: 6.686
[1,   250] loss: 6.673
[1,   260] loss: 6.691
[1,   270] loss: 6.688
[1,   280] loss: 6.689
[1,   290] loss: 6.683
[1,   300] loss: 6.689
[1,   310] loss: 6.691
[1,   320] loss: 6.672
[1,   330] loss: 6.667
[1,   340] loss: 6.686
[1,   350] loss: 6.685
[1,   360] loss: 6.666
[1,   370] loss: 6.669
[1,   380] loss: 6.664
[1,   390] loss: 6.647
[1,   400] loss: 6.634
[1] Validation loss: 6.647, Accuracy: 0.22%
[2,    10] loss: 6.610
[2,    20] loss: 6.621
[2,    30] loss: 6.627
[2,    40] loss: 6.644
[2,    50] loss: 6.632
[2,    60] loss: 6.602
[2,    70] loss: 6.587
[2,    80] loss: 6.628
[2,    90] loss: 6.617
[2,   100] loss: 6.581
[2,   110] loss: 6.614
[2,   120] loss: 6.577
[2,   130] loss: 6.595
[2,   140] loss: 6.584
[2,   150] loss: 6.556
[2,   160] loss: 6.591
[2,   170] loss: 6.559
[2,   180] loss: 6.561
[2,   190] loss: 6.594
[2,   200] loss: 6.587
[2,   210] loss: 6.577
[2,   220] loss: 6.549
[2,   230] loss: 6.555
[2,   240] loss: 6.572
[2,   250] loss: 6.605
[2,   260] loss: 6.579
[2,   270] loss: 6.559
[2,   280] loss: 6.521
[2,   290] loss: 6.577
[2,   300] loss: 6.541
[2,   310] loss: 6.558
[2,   320] loss: 6.527
[2,   330] loss: 6.509
[2,   340] loss: 6.531
[2,   350] loss: 6.557
[2,   360] loss: 6.557
[2,   370] loss: 6.510
[2,   380] loss: 6.542
[2,   390] loss: 6.520
[2,   400] loss: 6.555
[2] Validation loss: 6.497, Accuracy: 0.55%
[3,    10] loss: 6.433
[3,    20] loss: 6.459
[3,    30] loss: 6.459
[3,    40] loss: 6.453
[3,    50] loss: 6.462
[3,    60] loss: 6.445
[3,    70] loss: 6.426
