Dataset is copied to /tmp
Start Training, use checkpointcheckpoints/tightrope_encoder_ep_14
[1,    10] loss: 6.702
[1,    20] loss: 6.687
[1,    30] loss: 6.686
[1,    40] loss: 6.685
[1,    50] loss: 6.682
[1,    60] loss: 6.672
[1,    70] loss: 6.645
[1,    80] loss: 6.625
[1,    90] loss: 6.622
[1,   100] loss: 6.615
[1] Validation loss: 6.594, Accuracy: 0.32%
[2,    10] loss: 6.565
[2,    20] loss: 6.545
[2,    30] loss: 6.539
[2,    40] loss: 6.510
[2,    50] loss: 6.500
[2,    60] loss: 6.501
[2,    70] loss: 6.487
[2,    80] loss: 6.492
[2,    90] loss: 6.491
[2,   100] loss: 6.437
[2] Validation loss: 6.436, Accuracy: 0.68%
[3,    10] loss: 6.347
[3,    20] loss: 6.380
[3,    30] loss: 6.362
[3,    40] loss: 6.355
[3,    50] loss: 6.343
[3,    60] loss: 6.348
[3,    70] loss: 6.328
[3,    80] loss: 6.311
[3,    90] loss: 6.328
[3,   100] loss: 6.292
[3] Validation loss: 6.312, Accuracy: 1.01%
[4,    10] loss: 6.129
[4,    20] loss: 6.184
[4,    30] loss: 6.177
[4,    40] loss: 6.199
[4,    50] loss: 6.165
[4,    60] loss: 6.174
[4,    70] loss: 6.206
[4,    80] loss: 6.196
[4,    90] loss: 6.194
[4,   100] loss: 6.212
[4] Validation loss: 6.225, Accuracy: 1.26%
[5,    10] loss: 6.025
[5,    20] loss: 6.062
[5,    30] loss: 6.032
[5,    40] loss: 6.035
[5,    50] loss: 6.040
[5,    60] loss: 6.075
[5,    70] loss: 6.083
[5,    80] loss: 6.089
[5,    90] loss: 6.057
[5,   100] loss: 6.089
[5] Validation loss: 6.168, Accuracy: 1.56%
[6,    10] loss: 5.896
[6,    20] loss: 5.912
[6,    30] loss: 5.917
[6,    40] loss: 5.978
[6,    50] loss: 5.947
[6,    60] loss: 5.952
[6,    70] loss: 5.962
[6,    80] loss: 5.948
[6,    90] loss: 5.945
[6,   100] loss: 6.001
[6] Validation loss: 6.141, Accuracy: 1.84%
[7,    10] loss: 5.733
[7,    20] loss: 5.719
[7,    30] loss: 5.775
[7,    40] loss: 5.796
[7,    50] loss: 5.845
[7,    60] loss: 5.811
[7,    70] loss: 5.863
[7,    80] loss: 5.813
[7,    90] loss: 5.845
[7,   100] loss: 5.854
[7] Validation loss: 6.125, Accuracy: 2.05%
[8,    10] loss: 5.614
[8,    20] loss: 5.614
[8,    30] loss: 5.646
[8,    40] loss: 5.683
[8,    50] loss: 5.687
[8,    60] loss: 5.662
[8,    70] loss: 5.657
[8,    80] loss: 5.750
[8,    90] loss: 5.748
[8,   100] loss: 5.662
[8] Validation loss: 6.178, Accuracy: 2.35%
[9,    10] loss: 5.380
[9,    20] loss: 5.412
[9,    30] loss: 5.491
[9,    40] loss: 5.469
[9,    50] loss: 5.567
[9,    60] loss: 5.542
[9,    70] loss: 5.555
[9,    80] loss: 5.560
[9,    90] loss: 5.612
[9,   100] loss: 5.570
[9] Validation loss: 6.335, Accuracy: 2.15%
[10,    10] loss: 5.298
[10,    20] loss: 5.254
[10,    30] loss: 5.296
[10,    40] loss: 5.305
[10,    50] loss: 5.380
[10,    60] loss: 5.321
[10,    70] loss: 5.440
[10,    80] loss: 5.415
[10,    90] loss: 5.432
[10,   100] loss: 5.460
[10] Validation loss: 6.251, Accuracy: 2.43%
[11,    10] loss: 5.053
[11,    20] loss: 5.055
[11,    30] loss: 5.076
[11,    40] loss: 5.210
[11,    50] loss: 5.128
[11,    60] loss: 5.185
[11,    70] loss: 5.272
[11,    80] loss: 5.258
[11,    90] loss: 5.288
[11,   100] loss: 5.227
[11] Validation loss: 6.429, Accuracy: 2.47%
[12,    10] loss: 4.860
[12,    20] loss: 4.817
[12,    30] loss: 4.942
[12,    40] loss: 4.930
[12,    50] loss: 4.976
[12,    60] loss: 5.053
[12,    70] loss: 5.097
[12,    80] loss: 5.033
[12,    90] loss: 5.039
[12,   100] loss: 5.031
[12] Validation loss: 6.617, Accuracy: 2.33%
[13,    10] loss: 4.531
[13,    20] loss: 4.678
[13,    30] loss: 4.700
[13,    40] loss: 4.782
[13,    50] loss: 4.836
[13,    60] loss: 4.742
[13,    70] loss: 4.816
[13,    80] loss: 4.902
[13,    90] loss: 4.869
[13,   100] loss: 4.862
[13] Validation loss: 6.710, Accuracy: 2.59%
[14,    10] loss: 4.367
[14,    20] loss: 4.361
[14,    30] loss: 4.480
[14,    40] loss: 4.478
[14,    50] loss: 4.573
[14,    60] loss: 4.584
[14,    70] loss: 4.569
[14,    80] loss: 4.661
[14,    90] loss: 4.599
[14,   100] loss: 4.694
[14] Validation loss: 7.019, Accuracy: 2.45%
[15,    10] loss: 4.105
[15,    20] loss: 4.162
[15,    30] loss: 4.236
[15,    40] loss: 4.166
[15,    50] loss: 4.298
[15,    60] loss: 4.334
[15,    70] loss: 4.342
[15,    80] loss: 4.431
[15,    90] loss: 4.411
[15,   100] loss: 4.434
[15] Validation loss: 7.333, Accuracy: 2.54%
[16,    10] loss: 3.786
[16,    20] loss: 3.924
[16,    30] loss: 3.924
[16,    40] loss: 4.046
[16,    50] loss: 4.029
[16,    60] loss: 4.089
[16,    70] loss: 4.107
[16,    80] loss: 4.087
[16,    90] loss: 4.123
[16,   100] loss: 4.173
[16] Validation loss: 7.505, Accuracy: 2.36%
[17,    10] loss: 3.483
[17,    20] loss: 3.585
[17,    30] loss: 3.698
[17,    40] loss: 3.716
[17,    50] loss: 3.813
[17,    60] loss: 3.790
[17,    70] loss: 3.821
[17,    80] loss: 3.869
[17,    90] loss: 3.861
[17,   100] loss: 3.933
[17] Validation loss: 8.128, Accuracy: 2.25%
[18,    10] loss: 3.236
[18,    20] loss: 3.341
[18,    30] loss: 3.367
[18,    40] loss: 3.420
[18,    50] loss: 3.464
[18,    60] loss: 3.505
[18,    70] loss: 3.591
[18,    80] loss: 3.590
[18,    90] loss: 3.698
[18,   100] loss: 3.708
[18] Validation loss: 8.530, Accuracy: 2.43%
[19,    10] loss: 2.900
[19,    20] loss: 3.015
[19,    30] loss: 3.112
[19,    40] loss: 3.142
[19,    50] loss: 3.218
[19,    60] loss: 3.283
[19,    70] loss: 3.360
[19,    80] loss: 3.336
[19,    90] loss: 3.370
[19,   100] loss: 3.382
[19] Validation loss: 9.173, Accuracy: 2.20%
[20,    10] loss: 2.783
[20,    20] loss: 2.835
[20,    30] loss: 2.878
[20,    40] loss: 2.928
[20,    50] loss: 3.006
[20,    60] loss: 2.965
[20,    70] loss: 3.092
[20,    80] loss: 3.094
[20,    90] loss: 3.128
[20,   100] loss: 3.194
[20] Validation loss: 9.407, Accuracy: 2.11%
[21,    10] loss: 2.569
[21,    20] loss: 2.570
[21,    30] loss: 2.600
[21,    40] loss: 2.755
[21,    50] loss: 2.693
[21,    60] loss: 2.818
[21,    70] loss: 2.911
[21,    80] loss: 2.801
